2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:98 | 创建AI模型训练任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:107 | 创建批量预测任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:115 | 创建数据质量检查任务...
2025-07-29 00:07:44 | INFO | __main__:run_full_workflow:130 | Workflow started with chain ID: c976b18a-1faa-4a8d-b22a-a9879ea8acaf
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:56 | Starting the full daily workflow...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:69 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:72 | 创建数据同步任务组...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:86 | 创建因子计算任务组...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:99 | 创建AI模型训练任务...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:108 | 创建批量预测任务...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:116 | 创建数据质量检查任务...
2025-07-29 00:09:39 | INFO | __main__:run_full_workflow:131 | Workflow started with chain ID: abe873a8-fe6e-4fdb-83dc-88fc1831e48d
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:56 | Starting the full daily workflow...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:69 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:72 | 创建数据同步任务组...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:86 | 创建因子计算任务组...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:99 | 创建AI模型训练任务...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:108 | 创建批量预测任务...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:116 | 创建数据质量检查任务...
2025-07-29 00:11:41 | INFO | __main__:run_full_workflow:131 | Workflow started with chain ID: 78c5c04c-3afb-45cb-95c5-be79de5c25ed
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:56 | Starting the full daily workflow...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:69 | 测试配置: 20240101 到 20241215, 股票池: ['000001.SZ', '000002.SZ', '600000.SH', '600036.SH', '000858.SZ']
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:72 | 创建数据同步任务组...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:86 | 创建因子计算任务组...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:99 | 创建AI模型训练任务...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:108 | 创建批量预测任务...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:116 | 创建数据质量检查任务...
2025-07-29 00:16:15 | INFO | __main__:run_full_workflow:124 | 开始执行数据同步任务组...
2025-07-29 01:04:56 | INFO | __main__:run_full_workflow:171 | 数据同步任务组完成.
2025-07-29 01:04:56 | INFO | __main__:run_full_workflow:175 | 开始执行因子计算任务组...
2025-07-29 01:05:01 | INFO | __main__:run_full_workflow:224 | 因子计算任务组完成.
2025-07-29 01:05:01 | INFO | __main__:run_full_workflow:228 | 开始执行AI模型训练任务...
